date,code,open,high,low,close,preclose,volume,amount
2015-12-22,sh.000300,3872.097,3880.468,3841.593,3876.732,3865.965,18030366100,243797366698.0
2015-12-23,sh.000300,3877.872,3926.686,3862.965,3866.381,3876.733,20701714700,294710770246.0
2015-12-24,sh.000300,3858.135,3867.679,3787.083,3829.402,3866.381,14718139700,203683543579.0
2015-12-25,sh.000300,3832.085,3848.025,3813.204,3838.201,3829.402,11962401300,163314511431.0
2015-12-28,sh.000300,3847.532,3853.389,3727.632,3727.632,3838.201,15398844000,210026020459.0
2015-12-29,sh.000300,3723.05,3762.052,3710.48,3761.875,3727.632,10188555500,140405054699.0
2015-12-30,sh.000300,3762.914,3765.657,3726.278,3765.175,3761.875,10562995500,155744099319.0
2015-12-31,sh.000300,3760.904,3772.617,3727.325,3731.005,3765.175,10187355600,145043696235.0
2016-01-04,sh.000300,3725.856,3726.245,3468.948,3469.066,3731.005,11537067400,145968206095.0
2016-01-05,sh.000300,3382.177,3518.217,3377.28,3478.78,3469.066,16211698400,196017085879.0
2016-01-06,sh.000300,3482.406,3543.74,3468.467,3539.808,3478.78,14596614400,160947198402.0
2016-01-07,sh.000300,3481.15,3481.15,3284.737,3294.384,3539.808,4410264100,47130795628.0
2016-01-08,sh.000300,3371.871,3418.851,3237.931,3361.563,3294.384,18595945100,203498868289.0
2016-01-11,sh.000300,3303.125,3342.481,3192.45,3192.45,3361.563,17463838700,184464050180.0
2016-01-12,sh.000300,3214.823,3242.253,3174.55,3215.71,3192.45,12822579600,142048909710.0
2016-01-13,sh.000300,3240.484,3257.295,3155.879,3155.879,3215.71,12066649400,130886082444.0
2016-01-14,sh.000300,3076.645,3226.658,3072.039,3221.571,3155.879,13453767100,144771580596.0
2016-01-15,sh.000300,3200.888,3216.798,3101.052,3118.73,3221.571,12460177900,131882737252.0
2016-01-18,sh.000300,3068.235,3165.616,3066.727,3130.729,3118.73,10112838600,109458287764.0
2016-01-19,sh.000300,3132.705,3227.908,3119.216,3223.125,3130.729,12765389300,142907686296.0
2016-01-20,sh.000300,3204.218,3225.95,3154.426,3174.378,3223.125,13065050400,143313337192.0
2016-01-21,sh.000300,3136.384,3202.538,3081.345,3081.345,3174.378,11118973300,121856195433.0
2016-01-22,sh.000300,3114.895,3132.171,3053.958,3113.463,3081.345,8995108700,96885673842.0
2016-01-25,sh.000300,3129.028,3149.332,3105.1,3128.886,3113.463,8154006100,85777891364.0
2016-01-26,sh.000300,3099.596,3106.53,2934.647,2940.509,3128.886,12693392100,127250652518.0
2016-01-27,sh.000300,2953.183,2963.544,2839.29,2930.352,2940.509,13222936600,126997670778.0
2016-01-28,sh.000300,2909.334,2941.887,2841.844,2853.756,2930.352,9922275600,95663874927.0
2016-01-29,sh.000300,2855.598,2965.309,2854.371,2946.09,2853.756,11330425900,109462356680.0
2016-02-01,sh.000300,2939.04,2944.517,2869.561,2901.048,2946.09,8679534200,82931453498.0
2016-02-02,sh.000300,2901.528,2972.426,2901.512,2961.334,2901.048,8860196300,88740230428.0
2016-02-03,sh.000300,2931.288,2954.71,2909.898,2948.639,2961.334,7738900000,74817092259.0
2016-02-04,sh.000300,2960.333,2999.206,2960.207,2984.76,2948.639,9177972400,91550346872.0
2016-02-05,sh.000300,2982.056,2988.36,2962.847,2963.789,2984.76,7685080800,77443222334.0
2016-02-15,sh.000300,2888.428,2961.493,2886.018,2946.707,2963.789,7291943400,71285049141.0
2016-02-16,sh.000300,2962.187,3042.089,2962.187,3037.035,2946.707,11257964300,112300492317.0
2016-02-17,sh.000300,3034.09,3065.784,3027.046,3063.32,3037.035,12829160700,122279340234.0
2016-02-18,sh.000300,3079.527,3093.513,3049.841,3053.698,3063.32,12440146400,122618612161.0
2016-02-19,sh.000300,3047.942,3065.968,3032.634,3051.585,3053.699,8733801200,90849341804.0
2016-02-22,sh.000300,3083.933,3128.207,3071.329,3118.867,3051.585,14094696800,141684080627.0
2016-02-23,sh.000300,3117.203,3119.221,3061.429,3089.363,3118.868,11256739100,117476469063.0
2016-02-24,sh.000300,3077.606,3109.545,3055.251,3109.545,3089.363,11178265000,112918607549.0
2016-02-25,sh.000300,3104.41,3104.436,2905.457,2918.75,3109.545,15782975200,153493008194.0
2016-02-26,sh.000300,2942.095,2964.385,2902.948,2948.031,2918.75,10694972900,102531571946.0
2016-02-29,sh.000300,2939.58,2939.875,2821.215,2877.467,2948.031,12934102000,118440829598.0
2016-03-01,sh.000300,2881.335,2950.436,2863.323,2930.694,2877.467,11604591800,110491037808.0
2016-03-02,sh.000300,2933.921,3054.724,2933.116,3051.333,2930.694,17597234700,164025161471.0
2016-03-03,sh.000300,3050.389,3078.444,3040.246,3058.422,3051.333,17310574400,165509087742.0
2016-03-04,sh.000300,3047.537,3101.656,3032.424,3093.889,3058.422,21917253400,205520475543.0
2016-03-07,sh.000300,3109.0,3130.903,3083.584,3104.84,3093.89,13246203700,127790344488.0
2016-03-08,sh.000300,3100.149,3109.25,3001.829,3107.673,3104.84,13623574200,128758488144.0
2016-03-09,sh.000300,3045.924,3072.916,3020.134,3071.907,3107.673,11146624500,106298652785.0
2016-03-10,sh.000300,3056.21,3074.16,3012.691,3013.146,3071.907,7607219700,78180468559.0
2016-03-11,sh.000300,2990.213,3026.437,2982.172,3018.284,3013.146,7333356400,74367296548.0
2016-03-14,sh.000300,3039.569,3106.8,3034.0,3065.69,3018.284,11710865500,123539094703.0
2016-03-15,sh.000300,3061.343,3077.085,3028.578,3074.78,3065.69,9831194100,101302845698.0
2016-03-16,sh.000300,3068.866,3100.352,3064.521,3090.033,3074.78,12473644800,126128854001.0
2016-03-17,sh.000300,3096.808,3147.841,3077.572,3124.204,3090.033,12166177700,136603715775.0
2016-03-18,sh.000300,3136.223,3197.668,3130.102,3171.963,3124.204,19730256400,210017810346.0
2016-03-21,sh.000300,3203.293,3267.775,3198.361,3249.437,3171.963,23326946400,256836636273.0
2016-03-22,sh.000300,3231.615,3249.677,3218.728,3225.79,3249.437,16102089700,194211982989.0
2016-03-23,sh.000300,3217.729,3242.247,3202.976,3236.092,3225.79,12567928600,155567074583.0
2016-03-24,sh.000300,3211.496,3221.906,3181.813,3181.851,3236.092,13313112200,162436036415.0
2016-03-25,sh.000300,3176.81,3204.442,3174.318,3197.817,3181.851,9739533000,115195604431.0
2016-03-28,sh.000300,3206.953,3229.624,3161.878,3169.728,3197.817,10344193300,123844044128.0
2016-03-29,sh.000300,3171.314,3178.075,3122.76,3135.41,3169.728,9729474700,113844280553.0
